가입일자,사용자코드,연령대코드,성별,가입 수,,
2021-03-04,USR_001,AGE_002,M,294,,
2021-03-04,USR_001,AGE_003,F,119,,
2021-03-04,USR_001,AGE_003,M,144,,
2021-03-04,USR_001,AGE_004,F,94,,
2021-03-04,USR_001,AGE_004,M,85,,
2021-03-04,USR_001,AGE_005,F,51,,
2021-03-04,USR_001,AGE_005,M,56,,
2021-03-04,USR_001,AGE_006,F,7,,
2021-03-04,USR_001,AGE_006,M,21,,
2021-03-04,USR_001,AGE_007,F,1,,
2021-03-04,USR_001,AGE_007,M,2,,
2021-03-04,USR_001,AGE_008,F,23,,
2021-03-04,USR_001,AGE_008,M,23,,
2021-03-05,USR_001,AGE_001,F,188,,
2021-03-05,USR_001,AGE_001,M,178,,
2021-03-05,USR_001,AGE_002,F,668,,
2021-03-05,USR_001,AGE_002,M,522,,
2021-03-05,USR_001,AGE_003,F,215,,
2021-03-05,USR_001,AGE_003,M,205,,
2021-03-05,USR_001,AGE_004,F,128,,
2021-03-05,USR_001,AGE_004,M,105,,
2021-03-05,USR_001,AGE_005,F,72,,
2021-03-05,USR_001,AGE_005,M,71,,
2021-03-05,USR_001,AGE_006,F,16,,
2021-03-05,USR_001,AGE_006,M,33,,
2021-03-05,USR_001,AGE_007,M,5,,
2021-03-05,USR_001,AGE_008,F,30,,
2021-03-05,USR_001,AGE_008,M,29,,
2021-03-06,USR_001,AGE_001,F,199,,
2021-03-06,USR_001,AGE_001,M,217,,
2021-03-06,USR_001,AGE_002,F,623,,
2021-03-06,USR_001,AGE_002,M,543,,
2021-03-06,USR_001,AGE_003,F,270,,
2021-03-06,USR_001,AGE_003,M,295,,
2021-03-06,USR_001,AGE_004,F,219,,
2021-03-06,USR_001,AGE_004,M,209,,
2021-03-06,USR_001,AGE_005,F,95,,
2021-03-06,USR_001,AGE_005,M,95,,
2021-03-06,USR_001,AGE_006,F,29,,
2021-03-06,USR_001,AGE_006,M,36,,
2021-03-06,USR_001,AGE_007,F,2,,
2021-03-06,USR_001,AGE_007,M,5,,
2021-03-06,USR_001,AGE_008,F,40,,
2021-03-06,USR_001,AGE_008,M,28,,
2021-03-07,USR_001,AGE_001,F,324,,
2021-03-07,USR_001,AGE_001,M,251,,
2021-03-07,USR_001,AGE_002,F,897,,
2021-03-07,USR_001,AGE_002,M,752,,
2021-03-07,USR_001,AGE_003,F,449,,
2021-03-07,USR_001,AGE_003,M,448,,
2021-03-07,USR_001,AGE_004,F,362,,
2021-03-07,USR_001,AGE_004,M,368,,
2021-03-07,USR_001,AGE_005,F,153,,
2021-03-07,USR_001,AGE_005,M,146,,
2021-03-07,USR_001,AGE_006,F,28,,
2021-03-07,USR_001,AGE_006,M,41,,
2021-03-07,USR_001,AGE_007,F,5,,
2021-03-07,USR_001,AGE_007,M,9,,
2021-03-07,USR_001,AGE_008,F,22,,
2021-03-07,USR_001,AGE_008,M,38,,
2021-03-08,USR_001,AGE_001,F,102,,
2021-03-08,USR_001,AGE_001,M,97,,
2021-03-08,USR_001,AGE_002,F,478,,
2021-03-08,USR_001,AGE_002,M,431,,
2021-03-08,USR_001,AGE_003,F,235,,
2021-03-08,USR_001,AGE_003,M,189,,
2021-03-08,USR_001,AGE_004,F,112,,
2021-03-08,USR_001,AGE_004,M,117,,
2021-03-08,USR_001,AGE_005,F,78,,
2021-03-08,USR_001,AGE_005,M,78,,
2021-03-08,USR_001,AGE_006,F,23,,
2021-03-08,USR_001,AGE_006,M,32,,
2021-03-08,USR_001,AGE_007,F,1,,
2021-03-08,USR_001,AGE_007,M,2,,
2021-03-08,USR_001,AGE_008,F,19,,
2021-03-08,USR_001,AGE_008,M,26,,
2021-03-09,USR_001,AGE_001,F,101,,
2021-03-09,USR_001,AGE_001,M,111,,
2021-03-09,USR_001,AGE_002,F,412,,
2021-03-09,USR_001,AGE_002,M,366,,
2021-03-09,USR_001,AGE_003,F,150,,
2021-03-09,USR_001,AGE_003,M,162,,
2021-03-09,USR_001,AGE_004,F,108,,
2021-03-09,USR_001,AGE_004,M,105,,
2021-03-09,USR_001,AGE_005,F,65,,
2021-03-09,USR_001,AGE_005,M,57,,
2021-03-09,USR_001,AGE_006,F,25,,
2021-03-09,USR_001,AGE_006,M,30,,
2021-03-09,USR_001,AGE_007,F,1,,
2021-03-09,USR_001,AGE_007,M,3,,
2021-03-09,USR_001,AGE_008,F,26,,
2021-03-09,USR_001,AGE_008,M,27,,
2021-03-10,USR_001,AGE_001,F,125,,
2021-03-10,USR_001,AGE_001,M,101,,
2021-03-10,USR_001,AGE_002,F,526,,
2021-03-10,USR_001,AGE_002,M,438,,
2021-03-10,USR_001,AGE_003,F,186,,
2021-03-10,USR_001,AGE_003,M,174,,
2021-03-10,USR_001,AGE_004,F,102,,
2021-03-10,USR_001,AGE_004,M,112,,
2021-03-10,USR_001,AGE_005,F,79,,
2021-03-10,USR_001,AGE_005,M,66,,
